Comment,Designator,Footprint,LCSC
"0.1uF","C1,C3,C6","Capacitor_SMD:C_0402_1005Metric","C129131"
"22uF","C2","Capacitor_SMD:C_0402_1005Metric","C415703"
"10uF","C4,C5","Capacitor_SMD:C_0402_1005Metric","C315248"
"MH","H1,H2,H3,H4","MountingHole:MountingHole_2.2mm_M2_Pad",""
"TYPE-C-31-M-12","J1,J2","footprint:HRO_TYPE-C-31-M-12","C165948"
"Conn_01x10_Female","J3","Connector_JST:JST_XH_B10B-XH-AM_1x10_P2.50mm_Vertical","C495726"
"Conn_01x05_Female","J4,J7,J11","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","C492404"
"Conn_01x05","J5,J6,J8,J9,J10","Connector_JST:JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical","C161872"
"5K1","R1,R3,R4,R5","Resistor_SMD:R_0402_1005Metric","C105872"
"10K","R2","Resistor_SMD:R_0402_1005Metric","C427247"
"SW_Push","SW1,SW2","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","C221678"
"TestPoint","TP1,TP2,TP3,TP4","TestPoint:TestPoint_Pad_D1.5mm",""
"ESP32-S3-WROOM-1","U1","Espressif:ESP32-S3-WROOM-1","C2913198"
"CD74HC4067SM","U2","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","C496123"
"NCP1117-3.3_SOT223","U4","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C146799"